time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.25901340166e-06,3.91503279872e-08,10.0047812147,4.399798084e-05,0.000819701489601,0.0,-9.70108433117e-05,3.78567423856e-06,0.159364197222,0.00216110534865,0.0322941121716,0.0,453.5496368073245,456.1354386518479,455.76127136107027,455.93391744389106
0.12000000000000001,-2.89090858871e-05,2.40345680749e-06,10.0137000639,0.00101000048723,0.00407921973332,0.0,-0.00105874199978,0.000128605823746,0.13793345252,0.034993932769,0.079671608891,0.0,394.67336543625527,399.0233039825512,394.7072179897626,397.72522564536183
0.18,-0.000215101593017,4.47676157414e-05,10.0290412419,0.00317455849901,0.00877105908833,0.0,-0.00572580532281,0.00154383585503,0.373387621468,0.038156229045,0.0750744750375,0.0,477.12808602349395,476.781461036803,478.9114655086953,479.15237307167985
0.23999999999999996,-0.000751053566688,0.000209448628605,10.0538251352,0.00536966385201,0.0129950950678,0.0,-0.0125729883482,0.00416747186011,0.452708175848,0.0332423635808,0.0588705189079,0.0,430.934609394048,429.5668289829692,430.882736870601,430.46784412355686
0.3,-0.00178174559583,0.000575532170539,10.0835564912,0.00729151652991,0.0167412284578,0.0,-0.0221472076091,0.00823075617563,0.538293616957,0.0294911292605,0.0687493205661,0.0,432.0921724236906,432.92696340733187,432.76509670930284,432.4496881349443
0.36000000000000004,-0.00349207834119,0.0012354321955,10.1199915416,0.00904864764949,0.0207145150759,0.0,-0.0352989974808,0.0139550417935,0.676126519044,0.0288711641289,0.0606172972729,0.0,449.2558320383959,448.59928005871757,449.3183797543046,449.2683693859673
0.4200000000000001,-0.00608947945117,0.00228399344059,10.1653099355,0.0116218798704,0.0244255416887,0.0,-0.0516855229559,0.0212441136562,0.834372307354,0.0618501070577,0.0642081878826,0.0,456.0714436574691,456.36075695630376,453.58844581539864,456.22971328881016
0.48000000000000015,-0.00985275677668,0.00388268980925,10.2240486746,0.0150555625265,0.0281407343445,0.0,-0.0742436050726,0.0325097166161,1.1233277493,0.0458566354868,0.0569004264815,0.0,494.4431582609925,493.9068810310491,494.53587770124955,493.3584246668659
0.5400000000000001,-0.0148312540067,0.00611630774744,10.2919779321,0.01751587257,0.0318516855124,0.0,-0.0920273304668,0.0421799085552,1.14094919884,0.0289128647305,0.0702561510449,0.0,410.7254249402816,411.91113477545343,412.1224694742931,410.62327331898456
0.6000000000000002,-0.0210712327203,0.00903963825272,10.3647513778,0.0196936464095,0.0354926885157,0.0,-0.116413924645,0.0554768628167,1.28466128247,0.0480183256165,0.0227178285493,0.0,453.4822952395215,449.6500210557685,451.7180126428399,453.25644167911787
0.6600000000000003,-0.0288334976315,0.0128076948013,10.4459016392,0.022448682162,0.0368872387111,0.0,-0.142471016355,0.0704241986987,1.42017518857,0.0413454807897,0.0242716157944,0.0,449.1674988749208,449.29352104113775,450.7713102146637,450.2330128174088
0.7200000000000003,-0.0380051029063,0.017417208968,10.530205505,0.0252814647716,0.0384871876259,0.0,-0.163378030369,0.0834482958912,1.38997956271,0.0569226694972,0.0310685441003,0.0,396.3615882206542,396.9859505434552,394.0641463381792,395.5029446479855
0.7800000000000004,-0.0486812833333,0.0230065974744,10.6184094582,0.0290038885825,0.0400132838929,0.0,-0.192679401223,0.103256315046,1.54992778136,0.0706917781666,0.0107182642356,0.0,459.2735676004378,457.6569091084588,456.3619568974119,457.46219012811656
0.8400000000000004,-0.0612173727909,0.0299243787353,10.7179983032,0.0329337237893,0.040956689495,0.0,-0.225275484294,0.127818821445,1.76936375944,0.0522931705855,0.024215320491,0.0,476.72987440396685,477.7598706871697,475.2696825117837,473.86035773439636
0.9000000000000005,-0.0756174166888,0.0383109945579,10.8278789761,0.0367809208052,0.0426469847639,0.0,-0.254885963639,0.152103312849,1.89310398348,0.0809305791294,0.0350963553214,0.0,447.3366983779443,448.2220095190617,446.58295563708964,448.9153810516241
0.9600000000000005,-0.0917834249855,0.0481991527137,10.9440295852,0.0413726295646,0.0448734558063,0.0,-0.284192701004,0.177968909251,1.97840573038,0.0658299280075,0.0408537002697,0.0,436.2679240505385,436.74901498666486,436.3934564397143,435.13591007884287
1.0200000000000005,-0.109543904611,0.0595335311197,11.06065738,0.045585790373,0.0471139168842,0.0,-0.308011855533,0.200162569424,1.90927962848,0.0777998851617,0.0291824065715,0.0,384.5118072808497,383.40545776175895,383.5541390165646,384.69377991221563
1.0800000000000005,-0.129078553216,0.0725715735312,11.1796917014,0.0500941487032,0.0487964427451,0.0,-0.343320544535,0.234927063836,2.05823333048,0.0692059742009,0.0256583539673,0.0,456.49530691037813,456.21421417266345,456.45650412880127,455.7744625621892
1.1400000000000006,-0.150650158473,0.0876696191644,11.3052341782,0.0538846053187,0.0508774482546,0.0,-0.375909429097,0.268722990141,2.12635359803,0.0470134719114,0.0484149326221,0.0,431.35466393007744,433.27255792392424,431.5563574583709,429.68206194962363
1.2000000000000006,-0.174209914928,0.104851374569,11.4346038236,0.0570297353258,0.0537839533148,0.0,-0.409691449178,0.30428108683,2.18581527314,0.0614815843477,0.048495315712,0.0,428.4607876560157,428.4691571961852,428.95873488892556,430.1874000273491
1.2600000000000007,-0.200008322002,0.124393581031,11.5703660994,0.0606586463691,0.0561811721765,0.0,-0.450545977992,0.347506764585,2.33923754893,0.0584043861203,0.0114228882522,0.0,461.1255334722688,458.1884045423873,458.29425975006944,458.0520936225739
